,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,3,1,,,,,,2,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,13,12,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bur oak,6,5,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black walnut,3,2,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black locust,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,5,3,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,13,9,,,,,,3,,,,,1,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,7,5,,,,,,2,,,,,-,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,4,1,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,3,3,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,1,-,,,,,,-,,,,,-,,,,,,1,,,,,,,,,,,,,
"19 Iowa
Number of non-zero plots denominator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,546,407,,,,,,106,,,,,47,,,,,,15,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,8,3,,,,,,3,,,,,2,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,13,4,,,,,,6,,,,,3,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,127,107,,,,,,19,,,,,3,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White oak,23,22,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,11,10,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bur oak,45,42,,,,,,3,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black walnut,30,22,,,,,,6,,,,,2,,,,,,-,,,,,,,,,,,,,
,Black locust,9,6,,,,,,2,,,,,1,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,6,3,,,,,,2,,,,,1,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,45,20,,,,,,19,,,,,6,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,97,59,,,,,,25,,,,,14,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,7,3,,,,,,3,,,,,1,,,,,,-,,,,,,,,,,,,,
,Cottonwood,19,19,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,6,3,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,52,40,,,,,,11,,,,,1,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,43,38,,,,,,1,,,,,5,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,5,3,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,3,3,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,2,-,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,13,13,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,2,-,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,6,3,,,,,,2,,,,,1,,,,,,-,,,,,,,,,,,,,
,Nonstocked,15,-,,,,,,-,,,,,-,,,,,,15,,,,,,,,,,,,,
"20 Kansas
Ratio estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,Small diameter,,,,,,,Nonstocked,,,,,,,,,,,,
,Total,0.0931,,0.0938,,,,,0.0805,,,,,0.1227,,,,,,,0.0314,,,,,,,,,,,,
